title,price,original_price,rating,reviews,link,image,category
VOSAREA 3pcs Cable Holder Cord Keeper Wire Organizer Silicone 4 Slots Strong Adhesive Suitable for Office and Household Wire Management,SGD 12.32,,,,N/A,https://m.media-amazon.com/images/I/61-IhzLqUxL._AC_UL320_.jpg,other
"Excel Shortcuts Mouse Pad, Excel Cheat Sheet Desk Mat with Essential Formulas, Non-Slip Office Mouse Mat for Laptop & PC, Portable Keyboard Pad for Home, Office, Gaming, 30x25cm Travel Size",SGD 13.67,,4.4,16,N/A,https://m.media-amazon.com/images/I/81DDbPfitvL._AC_UL320_.jpg,electronics
"Office Shortcuts Mouse Mat, Small Excel Cheat Sheet Desk Mat, Portable Mouse Pad with Windows Cheat Sheet Gaming Mouses Pad Functions, Waterproof Non-Slip Shortcut Mouses Pads for Office & Travel",SGD 10.26,SGD 15.40,4.0,2,N/A,https://m.media-amazon.com/images/I/818MOnl9UAL._AC_UL320_.jpg,other
"DAWNTREES Excel Shortcut Mouse Pad,100 x 400 x 3 mm Extended Large XL Cheat Sheet Gaming Mousepad,PC Office Spreadsheet Keyboard Mat,Non-Slip Stitched Edge",SGD 30.83,,4.5,116,N/A,https://m.media-amazon.com/images/I/81jWJzfhqvL._AC_UL320_.jpg,other
"Wireless Charging Desk Mat with Detachable Charger, 80 × 30 cm Mouse Pad with Non-Slip Base,Charging Desk Pad for Keyboard & Mouse, Minimalist Office Desk Mat, Gaming & Work Desk Accessories",SGD 44.53,,3.7,7,N/A,https://m.media-amazon.com/images/I/51tymoSz2yL._AC_UL320_.jpg,other
